Página,Fecha,Canal de abasto,Sucursal,Tipo de costo,Producto,Precio
1,01-01-2024,Tienda de autoservicio,,Bajo,Aceite Mixto,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Arroz largo,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Azúcar Estándar,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Harina de Trigo,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Frijol Flor de Mayo,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Frijol Negro,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Huevo Blanco,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Carne Molida Sirloin 90-10,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Bistec Diezmillo de Res,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Aguacate Hass,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Limón con semilla,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Guayaba,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Manzana Golden,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Manzana Starking,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Naranja mediana,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Papaya maradol,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Piña,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Plátano,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Sandía,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Calabacita Italiana,0.00
1,01-01-2024,Tienda de autoservicio,,Bajo,Chile poblano,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Aceite Mixto,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Arroz largo,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Azúcar Estándar,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Harina de Trigo,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Frijol Flor de Mayo,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Frijol Negro,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Huevo Blanco,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Carne Molida Sirloin 90-10,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Bistec Diezmillo de Res,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Aguacate Hass,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Limón con semilla,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Guayaba,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Manzana Golden,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Manzana Starking,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Naranja mediana,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Papaya maradol,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Piña,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Plátano,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Sandía,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Calabacita Italiana,0.00
1,01-01-2024,Tienda de autoservicio,,Alto,Chile poblano,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Aceite Mixto,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Arroz largo,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Azúcar Estándar,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Harina de Trigo,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Frijol Flor de Mayo,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Frijol Negro,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Huevo Blanco,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Carne Molida Sirloin 90-10,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Bistec Diezmillo de Res,0.00
1,01-01-2024,Mercados sobreruedas,,Bajo,Aguacate Hass,0.00
